BE0075,R-CORREA TPO R18(2.0)/FGO(D.R)
R569,.R-KIT DIST. R19-E/CL/GA/TW (95/D) CORAM
R5880,R-TRIPOIDE R12
R6000,R-ANILLO 0.25 R5(1.1)
R6179,R-MANILLA PLAST.AMARILLA. TWINGO
R6197,R-MANILLA PLAST.AZUL. TWINGO
R6298,R-CIL FR TW2/CL98
R6321,R-G/BARRO ANT.DEL.DER MG1
R635,R-G/BARRO ANT.DEL.IZQ MG2
R638,R-G/BARRO ANT.DEL.DER MG2
R6500,R-MANGUERA FR SYM/CL2
R6501,.R-CABLE SONDALAMDA LOG/SANDERO
R6523,R-TRIPOIDE DER MG1(siNc)
R6532,R-TRAVESANO SUP. FRONT. CL/SYM
R6545,R-G/BARRO ANT.DEL.IZQ KG
R6562,R-PARACHOQ. DEL SYMB1/CLIO 02-03
R6600,R-PLATO CLO. MG1/SC2(1.6)
R758,.R-E.MULT ESC CL1/R19-E METAL
R7895,R-VALVULA STOP SYM/LOG/SAND/CL2/TW2/KG
R825,R-G/BARRO ANT.DEL.DER MG2
R826,.R-G/BARRO ANT (D.I) MG2
R8965,R-G/BARRO ANT.DEL.DER SYM 01-02
R965,.R-PALANCA LUCES. KANGOO.
RE,R-TAPA RETROV.IZQ. MEG/SCEN (NEGRO)
RE-4568,R-PINON LEVA R19-1700 (GDE)
RE0000,R-FARO DEL.DER  R5
RE0001,R-TAPON CARTER R5/11/19/21/MG/SYM
RE0002,R-BASE MOT DER CL1(hidraulica)
RE0003,R-TUERCA TRIP. R5/R12 (16 MM)
RE0006,R-CONDENSADOR R5(1.3)/R18(1.4)/R12
RE0007,R-CARBONES ARRANQ R12(femsa)
RE0008,.R-CARBONES ARRANQ R12/BREK-12.(DUCEL)
RE001,R-B.ACEITE GALA
RE0011,R-BUJE BASE CAJA.(solo) TW 2. H/redoNdo.
RE0012,R-BASE MET.CAJA DER R18(2.0)(PEQ)
RE0014,R-PLATINO R18-BREK-1400 (S/DUC)
RE0015,R-PLATINO R5(1.3)/R18(1.6)(S/DUC)
RE0017,R-PLATINO R5(1.1)(S/FEMSA)
RE0018,R-PINON LEVA R5-1300 (DOBLE)
RE0019,R-BUJE ARR R/12
RE0020,R-BUJE ARR R12/R18(1.6)L/BEND
RE0021,R-TENSOR C/TPO. SYM1/LOG/SAND/KG(1.4)
RE0022,R-BUJE MES.SUP.R18(2.0)/FGO
RE0023,R-REGUL. ALT. R18/FGO/R5 (P/RH)
RE0024,R-MANILLA A/V R5/12/18-1600/20
RE0026,R-MANGUERA RAD INF R18(2.0)
RE0027,R-MANGUERA RAD SUP R5
RE0028,R-MANGUERA RAD INF R5
RE0029,R-C.BANCO STD R19(1.7/1.8)
RE0030,R-CERRAD.CAPO (muestra)
RE0031,R-MANGUERA.DIR.HID R19 CARB
RE0032,.R-MANGUERA RAD.SUP. R11/GAL 1.6
RE0034,R-BRAZO LPB DER MG1
RE0035,R-BRAZO LPB IZQ MG1
RE0036,R-CORREA TPO R18(2.0)/FGO(D.C)
RE0037,R-B.AGUA (muestra)
RE0039,.R-E.MULT ADM R21
RE0040,R-AMORT DEL TW2 8V
RE0041,R-SOPORTE VIDRIO PTA.DEL. R11/GALA
RE0042,R-PLATINA ESTRIBO R11
RE0043,R-TRICETA CARB R18(boca gruesa)
RE0044,R-PLATO CLO. R5/R11/R18br/R19E/CL1/TW
RE0045,R-MANGUERA FR TRAS R18(2.0)/FGO
RE0046,R-G/BARRO ANT.DEL.DER KG
RE0050,R-ORING CAJA SINC R11/R19/CL/TW/SYM/MG1
RE0051,R-CERRAD.PTA DEL DER R18-1400/1600/200
RE0053,R-COCUYO DEL IZQ CL(93-96)
RE0055,.R-TAPA DIST R5/R12(femsa)
RE0056,R-SOPORTE MARCO FARO GALA
RE0057,R-CODO FUELLE CONEXION./R-18-2000
RE0059,R-BENDIX FGO/R18(2.0)/R21(femsa)
RE0061,R-KIT GOMA TRIP. L/R R11/19/18/CL/TW/SY
RE0062,.R-LAPIZ SEL.CAMB R11/19/TW/MG/CL/KG/SC/
RE0063,R-ARRANQUE R18(1.6)(BRONCO)
RE0065,R-PULSADOR PLAST. MALETA R12 BRE
RE0067,R-SEGURO BOTON ELECTRO PTA R18(2.0)/FGO
RE0068,.R-BOTON ELECTRICO/LUZ EMERG.R18-2000-FG
RE0069,R-FARO DEL.IZQ R19E
RE0070,R-PALANCA LUCES R12
RE0073,R-CONECTOR BOBINA MG/SYM2/CL2/SC2(1.6)/K
RE0074,R-COCUYO DEL IZQ R19E
RE0076,.R-TRIPOIDE IZQ. R19(CORTO)
RE0077,R-SUICHE ENC R12
RE0078,R-MANGUERA DIR.HID R18 GTX/FGO
RE0081,R-TENSOR C/TPO. CL1/R19E/TW2 8V
RE0082,R-CABLE BUJIAS R18(2.0)/FGO
RE0085,R-BUJE MES.INF.R5(delgado)
RE0086,R-KIT CARB R19(1.7)
RE0087,R-CABLE CONTROL ELECTRICO (muestra)
RE0089,R-GUIA VALV R5/R11/R12/GALA(X8)
RE0092,R-PLATINERA DISTRIB GALA
RE0098,R-POLEA TENS. CORREA R5-1300.
RE0099,.R-E.MOT MG1/SYM2/CL2/SC2(1.6)/KG(1.6)
RE0100,R-MICA COCUYO DEL DER R5
RE0103,R-FARO DEL R12
RE0105,R-MICA STOP IZQ R5
RE0106,R-AMORT DEL CL(98)
RE0108,R-PANTALLA FARO DER R18
RE0109,R-PANTALLA FARO IZQ R18
RE0110,R-CAPO DEL CL(98-01)
RE0111,.R-DADO TRICETA R5/R12
RE0114,.R-FARO NEBLINA. FUEGO
RE0115,R-TEE CALEF R21
RE0119,R-ESCUDO PARRILLA GALA
RE0121,R-AMORT DEL TW2 8V
RE0122,R-E.CUELLO CARTER R11/GALA
RE0123,R-ESCUDO PARRILLA R21
RE0124,R-ESCUDO PARRILLA R11 ANTIGUO
RE0125,R-COLLARIN MG1/SYM/CL2/LOG/KG/SAND.
RE0127,R-G/ACEL. R18(1.6)
RE0130,R-STOP IZQ R18(s/circuito)
RE0131,R-STOP DER R18(s/circuito)
RE0133,.R-MANGUERA FRE.TRAS CLIO
RE0134,.R-B.AGUA CLIO 1.6 IMP/TW A/AC C/POL.AC
RE0136,R-ASPA VENT R18-2000 (H.R)
RE0137,R-CANTONERA PUERTA IZQ R12
RE0140,R-FARO DEL.DER R18
RE0141,R-FARO DEL.IZQ R18
RE0144,R-STOP IZQ R12
RE0145,R-STOP DER R12
RE0147,R-F.B.ACEITE R/11
RE0150,R-STOP IZQ R18br
RE0153,.R-TAPA GAS. R11 (C/LLAVE-OXION)
RE0157,R-B.ACEITE R19E/CL1
RE0158,R-FARO LUZ BAJA  R11
RE0159,R-FARO LUZ ALTA R11
RE0166,R-STOP DER R19 F1
RE0167,.R-MEMBRANA CARB R18-1600
RE0168,R-CUNA MORDAZA (muestra)
RE0169,R-COCUYO DEL IZQ R12
RE0170,R-COCUYO DEL DER R12
RE0171,R-BUJE CUNA  PALIER TRAS../R/11
RE0173,R-COCUYO DEL IZQ R18(blaNco)
RE0174,R-COCUYO DEL DER R18(blaNco)
RE0178,R-KIT CARB R21
RE0180,R-FARO DEL.IZQ MG1(1 bombillo)
RE0181,R-G/VELOC R11/GALA/R19E
RE0182,R-G/VELOC R18(2.0) DEVOLUCION
RE0183,.R-TAPA GAS. R5/R12/FGO (C/LLAV)
RE0184,R-BABERO FRONT MET.CO.R/18-1600/2000
RE0186,R-DIODERA R21 (+) P.RH
RE0187,R-TAPA RAD (todos)
RE0188,R-TAPA ACEITE R18/R21/FGO/R19/R11
RE0189,R-STOP IZQ R19 F1
RE0191,R-BIELETA B/EST DER.TW2 16V
RE0192,R-POLEA TENS. C/MULT MG1/SYM/CL2/SC2(1.6
RE0193,R-ROL. TRAS. INT.EXT R5/R12
RE0197,R-ROL DIFERENCIAL R30
RE0198,R-ROL TRAS R5/R12/R18(1.4/1.6)(iNt)
RE0201,R-TRICETA CARB R12
RE0203,R-BASE MET.MOT DE.R/12
RE0204,R-VARILLA CONT CAMB R18(larga)
RE0205,R-V.ADM.(JG4) R11/GAL (1/CUNA)
RE0206,R-BIELETA CARB.LARGA-AJUSTABLE.R/12.
RE0207,"R-CEPILLO LPB 14"""
RE0208,R-MEMBRANA CARB R18 (WEBER)
RE0210,R-TAPON CONTROL CAMBIO R12
RE0211,R-QUITA RUIDO DELG R5
RE0212,R-VALVULA BOT MOTOR
RE0213,R-QUITA RUIDO FREN.GRUESA R12/R18-16
RE0214,R-KIT CARB R5(1.3)/R12
RE0218,R-KIT CARB R11/GALA(2 bocas)
RE0219,R-MICA STOP DER R18br
RE0220,R-POLEA CIG. R18(2.0)
RE0221,.R-E.CARB.SOLEX R/TODOS.
RE0222,R-G/FRE. MANO R11
RE0223,.R-JGO BUJES REP.PALANCA CAMBIO R11
RE0224,R-C.BANCO 0.40 R11/R5/CL1/R19E/TW1
RE0225,R-ARANDELA PORTA ESTOP.R/18
RE0226,.R-BUJE MES.INF.IZQ.R21
RE0227,R-RETEN CAJA VEL SINC
RE0231,R-SUICHE ENC R5
RE0234,R-PLATINO R5/12/R18/UNO/PR T/FEMSA
RE0236,R-ANILLO STD SYM1/LOG/KG(1.4)/SAND
RE0239,R-ANILLO STD R5(1.3)/R12
RE0240,R-BUJE MES.INF.R21
RE0241,R-ANILLO 0.25 R18(1.6)
RE0243,R-KIT PAL CAMB R5
RE0245,R-KIT EMB SYM/CL2/LOG/SAND/KG(bajo)
RE0246,R-SEL CAMB R12(ocho)
RE0247,R-ARO SINC FGO/R21(1era-2da)R12/R18(1.6)
RE0248,R-ARO SINC R5(2da)
RE0249,R-C.BANCO 0.20 R11/R5/CL1/R19E/TW1
RE0250,R-CARACOL IZQ R5 (BASE)
RE0253,R-CARACOL DER R5 (BASE)
RE0255,R-B.GAS R18(1.6)
RE0261,R-C.BANCO STD R30
RE0263,R-AXIAL CIG STD R18(2.0)/FGO/R21
RE0265,R-AXIAL CIG STD R5/R11/CL1/R19E
RE0266,R-AXIAL CIG STD R12
RE0268,R-C.BIELA 0.10 R18(1.6)
RE0269,R-C.BIELA 0.20 R18(1.6)
RE0270,R-C.BIELA 0.30 R18(1.6)
RE0273,R-C.BANCO 0.10 R18(1.6)
RE0274,R-C.BANCO 0.20 R18(1.6)
RE0275,R-C.BANCO 0.30 R18(1.6)
RE0276,R-ESPIRAL DEL R21 (PAR)
RE0277,R-C.BIELA STD R5(1.1)
RE0278,R-C.BIELA 0.10 R5(1.1)
RE0279,R-C.BIELA 0.20 R5(1.1)
RE0280,R-C.BIELA 0.30 R5(1.1)
RE0281,R-C.BIELA 0.40 R5(1.1)
RE0282,R-C.BANCO STD R12
RE0283,R-C.BANCO 0.10 R12
RE0284,R-C.BANCO 0.20 R12
RE0285,R-C.BANCO 0.30 R12
RE0286,R-C.BANCO 0.40 R12
RE0287,R-C.BIELA STD R11/R12/R5(1.3)/SYM1/CL1/R
RE0288,R-C.BIELA 0.10 R11/R12/R5(1.3)/SYM1/CL1/
RE0289,R-C.BIELA 0.20 R11/R12/R5(1.3)/SYM1/CL/R
RE0290,R-C.BIELA 0.30 R11/R12/R5(1.3)/SYM1/CL/R
RE0291,R-C.BIELA 0.40 R11/R12/R5(1.3)/SYM1/CL/R
RE0292,R-C.BANCO STD R11/R5/CL1/R19E/TW1
RE0293,.R-C.BANCO 0.10 R5/11/CL1/19-E/TW1
RE0294,R-TAPA GAS CL1
RE0295,R-C.BANCO 0.30 R11/R5/CL1/R19E/TW1
RE0296,R-C.BANCO STD R18(2.0)/FGO/R21
RE0297,R-C.BANCO 0.10 R18(2.0)/FGO/R21
RE0298,R-C.BIELA STD R18(2.0)/FGO
RE0299,.R-C.BIELA 0.10 R18(2.0)/FGO
RE0301,R-TRIPOIDE R5
RE0303,R-PASADOR CARDAN RENAULT
RE0308,R-BUJE CUNA MOT.DEL.R21(1 oreja)
RE0309,R-PINON CIG. R5-1300 (DOBLE)
RE0313,R-BUJE CUNA MOT.TRAS.R21(2 orejas)
RE0315,R-BIELETA CARB.R21.(LA + LARGA)
RE0317,.R-BAKELITA B.GAS R18(2.0)/FGO
RE0319,R-ESPARRAGO RDA R5
RE0321,R-E.MULT R5/R12
RE0324,R-COPA ARRANQ R5/R12(femsa)
RE0326,R-SELLO CAMISA R5(1.3)/R12(X4)
RE0327,R-SELLO CAMISA R30(X6)
RE0328,R-E.CAMARA R18(1.6)
RE0330,R-ESPIRAL TRAS R21 (PAR)
RE0331,R-PLATINA HORQ. CLOCHE R11
RE0332,R-CIL.MALETA R5/R12/R21(carb)
RE0333,R-BASE VENTILADOR DOBLE./R/21
RE0334,R-V.ESC.(JG4) R19(1.7)
RE0335,R-HORQUILLA ARRANQ R11/FGO(pr)
RE0337,R-E.MULT R18(1.6)
RE0338,R-E.BAJANTE R12
RE0339,R-GOMA VARILLA CAMB R18(1.6)
RE0340,R-BOCINA VARILLAJE R18/FGO/R21
RE0341,R-TUERCA TRIP. R21 (20MM)
RE0342,.R-KIT B.FRENO (C/PIST) R18/2000/FU
RE0343,R-CUNAS VALV R12
RE0345,R-COCUYO DEL DER R5
RE0346,.R-TAPA DIST. R30 (SINC)
RE0347,R-SELLO CAMISA R18(1.6)(X4)
RE0348,R-BRAZO TENS TRAS.R/12,CORCEL,DEL REY
RE0350,.R-AMORT.TRAS CLIO (CORVEN)
RE0351,R-COCUYO DEL IZQ R21(iNy)
RE0353,R-CAPTADOR MULTIFUNCIONAL R
RE0354,.R-GOMA VALV (JGO) R5/R11/R12/CO
RE0355,R-COCUYO DEL DER R21(iNy)
RE0356,R-CAPO DEL TW2
RE0357,R-E.MULT R11/GALA/TW1
RE0358,R-E.B.AGUA R5(graNde)
RE0363,R-RESISTENCIA A/A SYM1/LOG/SAND
RE0365,R-E.CAMARA R5(1.1)
RE0368,R-E.TAPA CAD R5/R11/R12/TW1
RE0369,.R-GOMA VALV(X8)MG/SC2/CL2/SYM2/LG
RE0371,R-GOMA CAJA DIR R19/R18-2000/FUE
RE0372,R-SELLO CAMISA R18(2.0)/FGO/R21(X4)
RE0373,R-E.CARTER R18(1.6)
RE0377,R-VALVULA RETROC R21 (C/CABLE)
RE0378,R-RECIBIDOR TAPA MALETA R11/R18/GA
RE0381,.R-E.ARANDELA TUBO BUJIA
RE0387,.R-KIT B.FRENO R11
RE0388,R-E.MULT R18(1.6)
RE0389,R-BASE MOT IZQ MG1(aut)/SC2(1.6)(aut)
RE0390,R-SEGURO CAJA R
RE0391,R-KIT B.FRENO R12(seNcilla)
RE0392,R-CIL FR R5
RE0393,R-CIL FR R5(beNdix)
RE0394,R-KIT CALIPER R12
RE0395,R-B.FRENO R12(seNcilla)
RE0397,R-TUBO CALEF R21
RE0398,R-BRAZO LPB IZQ R19
RE0399,R-B.FRENO R5(1.3)/R18(1.6)/R12(doble)
RE0405,R-TAQUETES R5/R12 (JGO)
RE0406,R-B.AGUA R18(2.0)/FGO
RE0407,.R-FLOTADOR GAS R21
RE0408,.R-B.AGUA R11 (INC)
RE0409,.R-B.AGUA R5 1100 (R-145)
RE0410,.R-FLOTADOR GAS R18/CAMIONETA
RE0411,R-B.AGUA R18(1.4)
RE0414,.R-B.AGUA R11/GALA/TW C/POLEA
RE0419,R-TENSOR CAD. R12/R5(1.1)
RE0420,R-TENSOR CAD. R5(1.3)/R18(1.6)
RE0421,R-CADENA.TPO R5(1.3)(doble)
RE0422,R-TENSOR CAD. R11/TW1
RE0423,R-CADENA.TPO R18(1.6)(doble)
RE0425,R-COLLARIN R5/R12br/R18br
RE0427,R-BASE FARO IZQ R11
RE0428,R-B.GAS CL(93-96)
RE0429,R-BASE FARO DER R11
RE0430,R-MANGUERA LLENADO GAS R21
RE0431,R-MANGUERA B.AGUA TW
RE0434,R-MANGUERA B.AGUA TW (LONG.47.5)
RE0435,R-ESTOPERA 35X50X10
RE0436,R-MANGUERA CALEF R21 C/GRIFO
RE0437,R-GRADUAC.FRE. R18
RE0439,.R-E.CARTER C/AUT R19
RE0440,R-ESTOPERA PAL CAMB R12/DACIA/CORCEL
RE0443,R-ESTOPERA LATERAL TRIPOIDE R12
RE0444,.R-MANGUERA RAD.SUP. C/GRIFO R21>88
RE0447,R-MANGUERA CURVA SUP R18-2000
RE0452,R-DISCO EMB R5/R12
RE0454,R-BASE MOT R18(1.4/1.6)
RE0456,R-ESPEJO RETROV DER LOG(maNual)
RE0457,R-BASE MOT DER R11
RE0459,R-BASE MOT IZQ R11
RE0460,R-BASE CAJA R18(1.4/1.6)(torNillo/torNil
RE0462,R-C.BIELA STD R21
RE0463,R-CARDAN DIR R5/R12/R18
RE0464,R-BASE MOT IZQ R5
RE0465,R-BASE CAJA R5
RE0466,R-BASE CAJA R12
RE0467,R-COCUYO DEL IZQ R5
RE0468,R-VACUM CARB R11
RE0469,.R-FARO NEBLINA.TRAS.IZQ R11
RE0470,R-BASE MOT R12
RE0471,R-ESPIRAL TRAS TW
RE0472,R-BUJE TERM.DIR(79-504987)./R/5,12,18-16
RE0473,R-BUJE TREN DEL R12
RE0474,.R-BUJE MES.SUP.R30 (muestra)
RE0477,R-BASE MOT DER R5
RE0478,R-BASE MOT IZQ R18(2.0)/FGO
RE0479,R-BASE MOT DER R18(2.0)/FGO
RE0480,R-BASE CAJA R18(2.0)/FGO
RE0481,R-BASE MOT FRONT R18(2.0)/FGO
RE0482,R-BUJE MES.INF.R5(grueso)
RE0483,R-JGO.RESORTE FRENO TRAS R5
RE0484,R-BUJE BRAZO TENS.DIR R18(2.0)
RE0485,R-BUJE SELECT. CAMBIO./R/12.(OCHO)
RE0486,R-KIT RESORTE FR TRAS R18(2.0)/FGO
RE0487,R-BUJE MES.SUP.R5
RE0488,.R-FARO NEBLINA.TRAS.DER R11
RE0490,.R-KIT CARB R5-1300/R12/BREK (SOLEX)
RE0491,R-BUJE MES.INF.R12/R18(1.6)
RE0492,R-BUJE MES.SUP.R12/R18(1.6)
RE0494,R-BUJE BRAZO TENS.DIR. R18(1.4/1.6)
RE0495,R-PARRILLA DEL. GALA
RE0496,R-BUJE MES.INF.IZQ.R18(2.0)/FGO
RE0497,R-MICA COCUYO DEL DER R18(amarilla)
RE0501,R-KIT GOMA TRIP. L/C R11/19/TW IZQ
RE0502,R-KIT CAJA DIR R5
RE0503,R-KIT CAJA DIR R12
RE0504,R-KIT CAJA DIR. R18-1600  .(MG0774)
RE0505,R-GOMA B/ESTAB CENTRAL R11/GALA
RE0506,R-GOMA B/ESTAB PUNTA R11/CL98
RE0508,.R-BUJE MES.TRAS. R/12.
RE0509,R-GRADUADOR FARO DER.PARTE IZQ R5
RE0510,.R-TUERCA RUEDA R5
RE0511,.R-CUFIA CAJA DIREC R12/CORCEL
RE0512,R-BUJE BRAZO TENS.TRAS. R18(2.0)/FGO
RE0513,R-MICA STOP DER R30
RE0514,R-GRADUADOR FARO DER.PARTE IZQ R5.
RE0515,R-MICA COCUYO DEL IZQ R18(blaNca)
RE0516,R-KIT GOMA TRIP. L/C R11/19/CL/TW DER
RE0517,R-VENDER 59-583
RE0519,R-KIT GOMA TRIP. L/R B/ANC R18-2000
RE0523,R-BASE GOMA ESPIRAL DELANT.R/18/R/21
RE0524,R-GOMA B/ESTAB R18(2.0)/FGO
RE0529,R-BUJE MES.INF.R11/GALA
RE0533,R-V.ADM.(JG4) R18-2000/R21
RE0534,R-KIT ABRAZ. CONJ.BARRA DIRECC.RENAULT
RE0535,R-BASE MET.MOT DER R18-1600.GRANDE
RE0537,R-E.CAMARA R18(2.0)/FGO/R21
RE0540,R-GOMA ESPIRAL R12
RE0542,R-DISCO FRE R11/GALA/TW(todos)(solido)
RE0543,R-TAMBOR FRE.TRAS. R18-2000/FGO 84
RE0552,R-ARO FARO DER R12 (gris)
RE0553,R-ARO FARO IZQ R12 (gris)
RE0556,R-G/FANGO. DEL.IZQ R18-1600-2000.
RE0557,R-G/FANGO. DEL.DER R18-1600-2000.
RE0559,R-PLATINA BAJO FARO IZQ R18
RE0560,R-PLATINA BAJO FARO DER R18
RE0561,R-MANGUERA RAD INF LOG
RE0562,R-ESTOPERA LEVA TRAS FGO/21/R19-ENERG
RE0567,R-BASE MOT TRAFIC
RE0569,R-CONTRA TAPA GASOLINA
RE0573,R-PAST.FRE R11/19/SYM2/CL2/LOG/TW16 (C/G
RE0577,R-ESTOPERA CIG TRAS R11/19-E/TW1/CL
RE0579,R-CORREA DIR.HIDR A/A CLIO
RE0582,R-PLATO CLO.160mm R-4 FRANCES
RE0585,R-KIT CIL FRENO R18
RE0587,0-VALVULA ACEITE. R/30.
RE0588,R-MANGUERA FR TRAS R21
RE0589,R-B.AGUA MG1/CL2/SYM2/SC2(1.6)/KG(1.6)
RE0591,R-POLEA CIG. R12 C/BUJE
RE0592,R-GOMA PEDAL EMB/FRE R21
RE0593,R-MANILLA PTA.INT.DER R5
RE0594,.R-ANILLO STD R19-E/CL/MG/KG 1.400.
RE0599,R-ANILLO 0.25 R19(1.7)
RE0600,.R-B.ACEITE. R18-1600 (COMPLETA)
RE0601,R-FARO PLACA R5-1300/R12/BREK-12
RE0602,R-ASPA VENT R5(1.3)/R18(1.6)(H.C)
RE0605,R-MOTOR SOPLADOR A/A R19E/SYM
RE0606,R-ASPA VENT R18(2.0)/FGO(H.C)
RE0609,R-TERMINAL DER. R12
RE0612,R-TEE AMORT R12/R18(corta)
RE0613,R-MUNON INF. R12/R18(1.6)
RE0614,R-MUNON SUP. R12/R18(1.6)
RE0615,R-MUNON INF. IZQ R5
RE0616,R-MUNON INF. DER R5
RE0617,R-MUNON SUP. R5
RE0618,R-BIELETA B/EST R12/R18(1.6)
RE0619,R-BASE MET.MOT DER R18-1600.PEQUENA
RE0623,R-CAJA DIREC R18(1.6)(mec)
RE0624,R-MUNON INF. R18(2.0)/FGO
RE0625,R-MUNON SUP. R18(2.0)/FGO
RE0626,R-CAJA DIREC R5
RE0628,R-BOCINA.TENSOR ALTERNADOR.R/18
RE0630,R-PASADOR TIJERA SUP R5
RE0633,R-TERMINAL R5/R18
RE0635,R-E.VENT R21 (MOTOR)(muestra)
RE0638,R-MUNON INF. R11/GAL/19/CL/TW/SY/MG
RE0641,R-ARTIC.AXIAL R5
RE0642,R-DIODERA ALTGALA (8/DIOD) P.RH
RE0644,R-VALVULA MINIMO R21
RE0647,R-V.ESC. R30
RE0648,R-BASE MET.CAJA IZQ R18(2.0)
RE0650,R-PUNTERA PARACHOQ. DEL.IZQ R18
RE0651,R-V.ADM.(JG4) R18(1.6)
RE0654,R-PINON CIG. R18-1600 (DOBLE)
RE0655,R-PINON CIG R11/R12/R18br
RE0656,R-PINON LEVA R18(1.6)(doble)
RE0657,R-PINON LEVA R5/12
RE0660,R-FRASCO AGUA R5/R11/R12/R18/FGO
RE0661,.R-GOMA AMORT DEL R19 (88/96) (CUNA)
RE0662,R-BASE MET.CAJA DER R18(2.0)(BARCO)
RE0663,R-TUERCA LATERAL CAJA VEL. R12
RE0665,R-TEE CALEF R5
RE0666,R-TEE PURGA R18/R30
RE0667,R-RAMAL CALEF. R12 (C/GRIFO)
RE0668,R-CONDUCTO DE ADMISION CARB.R12
RE0669,R-CARCAZA CAJA VELOCIDAD R12
RE0671,R-GOMA SOPORT.ESC R18
RE0673,R-POMO PAL CAMB R19/CL1
RE0676,R-B.ACEITE R5/R12
RE0677,R-PINON B.ACEITE R5/R11/R12
RE0678,R-PINON B.ACEITE R18-1600/16
RE0679,R-ESPIRAL DEL R12 L/TL (76-81) (PAR)
RE0680,R-PLATINA PTA.DEL.DER R19
RE0681,R-ESPIRAL DEL R18-1600/BREK-140 (PAR)
RE0682,R-ESPIRAL DEL R18(2.0)/FGO
RE0683,R-ESPIRAL TRAS R18/FGO
RE0684,.R-VALVULA TEMP. R11/R21 (2/C)
RE0686,R-G/CLOCHE R11/GALA
RE0687,R-G/ACEL. R18(2.0)/FGO
RE0691,R-G/FRE. MANO R12/CORCEL.
RE0693,R-V.ESC.(JG4) R18(2.0)/FGO/R21
RE0699,R-BASE MET.CAJA (TORRE)R/18-1400-1600.U-
RE0700,R-G/CLOCHE R18(1.6)
RE0701,R-CABLE BUJIAS TW1
RE0703,R-G/CLOCHE R12(larga)
RE0706,R-G/ACEL. R12
RE0707,.R-G/ACEL. R16L TL-BREK
RE0708,R-G/ACEL. R12
RE0710,R-GOMA VALV R19E/CL1/SYM1/LOG/S(X8)
RE0712,R-PANTALLA FARO DER GALA
RE0713,R-PANTALLA FARO IZQ GALA
RE0714,R-F.ACEITE R5(1.1)/R12/R18(1.6)
RE0716,.
RE0717,R-MANGUERA PURIF.CARB R5/R12
RE0718,R-PARACHOQ. DEL R19E
RE0721,R-F.AIRE R11/GALA
RE0723,R-POLEA TENS. A/A R19-1700/SCEN 00
RE0725,.R-MANGUERA RAD.SUP. R30
